Genus,species,Family,Milne,Kimbe,Bootless,Madang,Bismark Sea,Museum Bootless,Total Areas,Fished,length (cm)
Heniochus,chrysostomus,Chaetodontidae,1,1,1,1,1,1,6,not fished,18
Heniochus,diphreutes,Chaetodontidae,1,1,0,0,0,0,2,not fished,21
Heniochus,monoceros,Chaetodontidae,1,0,0,1,1,0,3,not fished,24
Heniochus,singularius,Chaetodontidae,1,1,1,1,1,0,5,not fished,30
Heniochus,varius,Chaetodontidae,1,1,1,1,1,1,6,not fished,19
Parachaetodon,ocellatus,Chaetodontidae,1,0,0,0,1,1,3,not fished,18
Amblycirrhitus,bimaculata,Cirrhitidae,0,0,0,1,0,0,1,not fished,8.5
Cirrhitichthys,aprinus,Cirrhitidae,1,0,1,1,0,0,3,not fished,12.5
Cirrhitichthys,falco,Cirrhitidae,1,1,1,1,1,0,5,not fished,7
Cirrhitichthys,oxycephalus,Cirrhitidae,1,1,1,1,1,0,5,not fished,10
Cirrhitus,pinnulatus,Cirrhitidae,0,1,0,1,1,0,3,not fished,30
Cyprinocirrhites,polyactis,Cirrhitidae,1,1,0,1,0,0,3,not fished,15
Neocirrhites,armatus,Cirrhitidae,1,0,0,0,0,0,1,not fished,9
Oxycirrhitus,typus,Cirrhitidae,1,1,1,1,0,0,4,not fished,13
Paracirrhites,arcatus,Cirrhitidae,1,1,1,1,1,0,5,not fished,20
Paracirrhites,forsteri,Cirrhitidae,0,1,1,1,1,0,4,not fished,22
Herklotsichthys ,quadrimaculatus,Clupeidae,1,1,0,1,0,0,3,Fished,25
Echeneis,naucrates,Echeneidae,1,1,0,1,1,0,4,Fished,110
Gerres ,acinaces,Gerreidaeæ,0,0,0,0,0,0,0,Fished,44.5
Plectorhinchus,chrysotaenia,Haemulidae,0,0,1,0,1,0,2,Fished,41
Plectorhinchus,lessoni,Haemulidae,1,0,0,0,1,1,3,Fished,40
Plectorhinchus,vittatus,Haemulidae,0,1,1,1,1,0,4,Fished,72
Hyporhamphus ,dussumieri,Hemiramphidae,1,0,0,1,1,1,4,Fished,38
Myripristis ,amaena,Holocentridae,0,0,0,0,0,0,0,Fished,26.5
Myripristis ,murdjan,Holocentridae,1,1,1,1,1,1,6,Fished,60
Myripristis ,pralinia,Holocentridae,1,1,0,1,1,0,4,Fished,20
Sargocentron,diadema,Holocentridae,1,0,0,1,0,1,3,Fished,32
Sargocentron,praslin,Holocentridae,1,1,1,0,0,0,3,Fished,51
Sargocentron,spiniferum,Holocentridae,1,1,0,1,1,1,5,Fished,17
Sargocentron ,rubrum,Holocentridae,0,0,1,1,0,1,3,Fished,32
Kyphosus,cinerascens,Kyphosidae,1,1,1,1,1,0,5,Fished,50
Oxycheilinus ,celebecus,Labridae,1,1,0,1,1,0,4,Fished,24
Oxycheilinus ,unifasciatus,Labridae,1,0,0,0,1,0,2,Fished,46
Gnathodentex,aureolineatus,Lethrinidae,1,1,1,0,1,0,4,Fished,30
Gnathodentex,aurolineatus,Lethrinidae,1,0,0,0,1,0,2,fished,30
Gymnocranius,elongatus,Lethrinidae,0,0,0,1,0,0,1,fished,35
Gymnocranius,grandoculus,Lethrinidae,1,0,0,0,0,0,1,fished,80
Lethrinus,atkinsoni,Lethrinidae,1,0,0,0,1,0,2,fished,50
Lethrinus,erythracanthus,Lethrinidae,1,1,1,1,1,0,5,fished,70
Lethrinus,erythropterus,Lethrinidae,1,1,0,1,1,0,4,fished,50
Lethrinus,genivittatus,Lethrinidae,1,0,0,0,0,0,1,fished,25
Lethrinus,harak,Lethrinidae,1,1,1,1,1,1,6,fished,50
Lethrinus,lentjan,Lethrinidae,1,1,0,0,1,1,4,fished,52
Lethrinus,microdon,Lethrinidae,1,0,0,0,1,0,2,fished,80
Lethrinus,nebulosus,Lethrinidae,1,1,0,0,0,1,3,fished,87
Lethrinus,obsoletus,Lethrinidae,1,1,0,0,1,0,3,fished,60
Lethrinus,olivaceous,Lethrinidae,1,1,0,1,1,0,4,fished,100
Lethrinus,ornatus,Lethrinidae,1,1,0,1,0,0,3,fished,45
Lethrinus,reticulatus,Lethrinidae,0,0,0,0,1,0,1,fished,40
Lethrinus,semicinctus,Lethrinidae,1,0,0,0,0,0,1,fished,35
Lethrinus,variegatus,Lethrinidae,1,1,1,0,1,0,4,fished,20
Lethrinus,xanthocheilus,Lethrinidae,1,0,0,0,1,0,2,fished,70
Monotaxis,grandoculis,Lethrinidae,1,1,1,1,1,0,5,fished,60
Wattsia,mossambica,Lethrinidae,0,1,0,1,0,0,2,fished,55
Aphareus,furca,Lutjanidae,1,1,0,1,1,0,4,fished,70
Aphareus,rutilans,Lutjanidae,0,0,0,1,0,0,1,Fished,110
Aprion,virescens,Lutjanidae,1,1,0,1,1,0,4,fished,112
Etelis,coruscans,Lutjanidae,0,0,0,1,0,0,1,fished,120
Lutjanus,argentimaculatus,Lutjanidae,1,1,1,1,1,1,6,fished,150
Lutjanus,biguttatus,Lutjanidae,1,1,1,1,1,0,5,fished,25
Lutjanus,bohar,Lutjanidae,1,1,0,1,1,1,5,fished,90
Lutjanus,boutton,Lutjanidae,1,1,0,1,1,0,4,fished,35
Lutjanus,carponotatus,Lutjanidae,1,1,0,1,1,1,5,fished,40
Lutjanus,ehrenburgi,Lutjanidae,1,0,0,1,1,0,3,fished,35
